Applicant_ID,Age,Gender,Marital_Status,Education,Employment_Type,Annual_Income,Monthly_Income,Loan_Amount,Loan_Term,Credit_Score,Existing_Loans,Debt_to_Income_Ratio,CIBIL_Score,Property_Area,Loan_Purpose,Bank_Balance,Previous_Default,Employment_Experience,EMI,Loan_Status
APP100000,30,Female,Unmarried,Graduate,Salaried,326025.11,27168.76,201444.0,120,634,2,37.42,587,Rural,Education,22545.94,0,2,3291.13,Rejected
APP100001,30,Male,Married,Not Graduate,Salaried,308832.85,25736.07,163587.93,240,652,3,24.71,580,Urban,Personal,0.0,1,3,1976.08,Rejected
APP100002,36,Male,Unmarried,Graduate,Salaried,327086.52,27257.21,142805.88,240,630,3,26.64,674,Rural,Home,3629.14,1,0,1898.17,Rejected
APP100003,35,Male,Married,Graduate,Salaried,155265.86,12938.82,155244.66,240,445,1,38.8,576,Urban,Car,39956.58,1,3,2395.33,Rejected
APP100004,36,Female,Married,Not Graduate,Contract,1296535.74,108044.64,281699.62,180,774,1,5.87,766,Urban,Personal,350561.96,0,4,2936.97,Approved
APP100005,35,Female,Married,Graduate,Salaried,359419.15,29951.6,335627.15,120,651,2,40.2,460,Urban,Personal,14963.23,0,8,5082.26,Rejected
APP100006,33,Female,Unmarried,Graduate,Salaried,319620.64,26635.05,234875.17,360,552,3,37.33,590,Urban,Education,8261.84,0,0,3163.37,Rejected
APP100007,46,Male,Married,Graduate,Salaried,50000.0,4166.67,22273.33,240,515,2,17.49,553,Semiurban,Personal,27279.74,0,1,295.52,Rejected
APP100008,21,Female,Unmarried,Graduate,Self-Employed,351034.5,29252.88,147397.08,84,600,3,43.88,603,Urban,Education,0.0,1,8,3112.34,Rejected
APP100009,21,Female,Unmarried,Graduate,Salaried,1164703.04,97058.59,273498.85,180,713,1,6.92,778,Rural,Education,33445.65,0,2,3264.33,Approved
APP100010,35,Male,Married,Graduate,Salaried,265030.18,22085.85,188270.21,240,562,3,57.21,574,Urban,Personal,0.0,0,5,2942.9,Rejected
APP100011,27,Female,Married,Graduate,Salaried,763554.92,63629.58,110013.07,120,750,1,4.36,794,Rural,Education,229727.51,0,4,1345.29,Approved
APP100012,45,Male,Married,Graduate,Salaried,161622.22,13468.52,47866.68,84,548,0,7.36,642,Semiurban,Personal,29113.5,0,13,991.57,Rejected
APP100013,24,Male,Unmarried,Graduate,Salaried,117085.42,9757.12,86386.47,240,581,5,95.73,560,Semiurban,Education,39268.0,1,0,1345.6,Rejected
APP100014,41,Male,Unmarried,Graduate,Contract,263384.77,21948.73,184423.77,120,597,4,69.75,640,Semiurban,Business,0.0,0,17,3019.0,Rejected
APP100015,45,Male,Unmarried,Not Graduate,Salaried,281781.51,23481.79,102211.45,360,586,2,12.44,659,Urban,Personal,13435.01,0,2,1321.07,Rejected
APP100016,55,Male,Married,Graduate,Salaried,802444.36,66870.36,110346.88,60,704,2,9.41,751,Rural,Personal,236806.0,0,3,2356.45,Approved
APP100017,42,Female,Married,Graduate,Salaried,228601.12,19050.09,109777.71,120,670,1,16.41,697,Rural,Home,12237.0,0,23,1726.91,Rejected
APP100018,55,Male,Married,Graduate,Salaried,296962.08,24746.84,126008.66,180,594,2,17.97,656,Urban,Home,0.0,1,28,1973.62,Rejected
APP100019,28,Male,Married,Graduate,Self-Employed,915710.29,76309.19,113050.44,300,744,1,2.85,766,Urban,Education,402154.59,0,3,1083.23,Approved
APP100020,31,Male,Married,Graduate,Salaried,304677.94,25389.83,221737.96,360,619,3,41.99,562,Urban,Car,11871.51,1,13,2804.75,Rejected
APP100021,41,Female,Unmarried,Graduate,Salaried,676591.04,56382.59,110927.83,240,750,1,3.13,766,Semiurban,Car,192376.36,0,3,1060.51,Approved
APP100022,41,Male,Married,Graduate,Self-Employed,1046534.86,87211.24,148160.25,300,742,1,3.42,817,Urban,Car,149674.24,0,23,1424.76,Approved
APP100023,23,Male,Unmarried,Graduate,Salaried,50000.0,4166.67,29008.24,180,667,2,24.72,678,Rural,Home,29753.02,0,0,384.67,Rejected
APP100024,44,Female,Married,Not Graduate,Self-Employed,760600.17,63383.35,68962.04,180,835,0,1.04,710,Rural,Car,187307.56,0,4,660.46,Approved
APP100025,44,Male,Married,Graduate,Salaried,973710.69,81142.56,173549.38,300,758,0,1.74,717,Urban,Car,72687.63,0,2,1411.61,Approved
APP100026,54,Male,Unmarried,Not Graduate,Self-Employed,825620.07,68801.67,122909.93,240,730,0,1.86,758,Semiurban,Home,392162.1,0,0,1278.66,Approved
APP100027,31,Male,Unmarried,Graduate,Salaried,357512.43,29792.7,277450.83,240,606,1,25.66,583,Rural,Business,23158.52,1,8,4295.75,Rejected
APP100028,30,Female,Married,Not Graduate,Salaried,358901.0,29908.42,177347.47,300,724,2,16.64,558,Semiurban,Personal,4526.36,0,8,1779.05,Rejected
APP100029,25,Female,Married,Graduate,Salaried,306427.74,25535.64,306534.2,240,623,2,58.48,638,Urban,Car,0.0,1,3,4597.53,Rejected
APP100030,24,Male,Unmarried,Graduate,Self-Employed,667683.03,55640.25,112790.65,84,809,0,3.25,798,Semiurban,Home,0.0,0,2,1807.51,Approved
APP100031,29,Female,Married,Graduate,Self-Employed,941328.73,78444.06,105421.79,360,811,0,1.07,806,Semiurban,Home,138643.74,0,0,839.47,Approved
APP100032,22,Female,Unmarried,Graduate,Salaried,207188.48,17265.71,101483.07,84,650,5,74.11,673,Urban,Personal,15096.79,0,0,1879.08,Rejected
APP100033,33,Male,Married,Graduate,Contract,967258.54,80604.88,287167.11,240,787,0,3.04,770,Semiurban,Car,31926.49,0,16,2452.14,Approved
APP100034,29,Male,Unmarried,Graduate,Salaried,975814.07,81317.84,154508.92,300,784,1,3.11,723,Semiurban,Personal,214701.69,0,16,1215.77,Approved
APP100035,41,Male,Married,Graduate,Salaried,1172305.9,97692.16,216538.58,360,752,0,1.76,744,Urban,Personal,297855.21,0,10,1723.09,Approved
APP100036,33,Male,Married,Graduate,Salaried,262557.65,21879.8,125976.53,84,546,1,24.23,693,Urban,Education,602.82,0,2,2649.03,Rejected
APP100037,39,Female,Unmarried,Not Graduate,Salaried,255840.15,21320.01,203618.61,180,502,2,43.88,610,Urban,Home,32823.51,1,0,3443.29,Rejected
APP100038,25,Male,Married,Graduate,Salaried,403073.24,33589.44,367496.38,360,722,3,40.98,616,Rural,Personal,9247.01,0,4,3680.38,Rejected
APP100039,30,Female,Married,Not Graduate,Salaried,765673.59,63806.13,201006.73,240,746,0,3.38,794,Urban,Car,219799.82,0,0,2155.73,Approved
